,Node,position,bandwidth,mobility,transmission_power,packet_loss,battery_capacity
0,0,"(79.8270686079743, 22.449325262495)",3,0.7369197119440676,17.164633888916,0.8893843472532144,68.38556949209777
1,1,"(35.568491305841754, 98.20803930356804)",3,0.8528431612474365,5.901512015864222,0.8888072461290557,14.15271839578913
2,2,"(23.07700834615032, 42.256638387309785)",8,0.4643448811235735,15.719906642627262,0.9888063929270122,23.922291919609542
3,3,"(87.68228142721696, 37.452824206487314)",1,0.9829226102704528,9.481884260139323,0.5055640969131545,46.4715905073397
4,4,"(21.529479289870046, 23.320235333892025)",4,0.42468138193404137,16.930419814162658,0.7407888005831262,46.165507207406705
5,5,"(43.3274238131634, 52.26228071257817)",9,0.29364856101310843,17.725526376980284,0.1319301568100899,96.96737253295778
6,6,"(4.318878018054928, 16.27403356966679)",6,0.5365357310820603,15.301395501230644,0.46616831863695607,74.30267906554953
7,7,"(92.62599578398647, 69.11207122860847)",6,0.23857106255971217,18.25793779547879,0.870259517832533,22.669350065643297
8,8,"(65.45890085456772, 47.78891606275254)",10,0.579122402556365,18.785688141122804,0.4644827735313233,46.70926214931036
9,9,"(86.5055475890276, 5.180330807083921)",10,0.3314778713712845,9.767925171778172,0.15911633037572415,38.038625214343035
